Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Bus,69678,Poor,0,3,Petrol,Automatic,1500,70544,2023-11-17,2025-11-22,Third,8461,5,3,14.229309406189927,New,Good,Weak,1
Van,51019,Poor,0,2,Electric,Manual,800,136800,2023-07-23,2024-11-24,Third,19354,6,1,11.59882608307986,Worn Out,New,Weak,1
Motorcycle,43160,Poor,3,1,Petrol,Automatic,1000,46017,2023-12-30,2024-09-09,Second,11052,3,2,16.82173822153124,Worn Out,Good,Weak,1
SUV,53111,Good,3,9,Electric,Manual,1000,21981,2023-12-17,2025-07-05,Third,21017,9,2,15.224966009399857,Worn Out,Good,Good,1
Bus,37830,Average,4,4,Diesel,Automatic,800,139556,2024-01-01,2026-01-21,First,15633,9,0,12.60933247537014,New,Good,Weak,1
Van,57491,Good,3,9,Petrol,Automatic,800,39682,2023-11-04,2026-02-27,First,19489,4,2,14.416637960597368,Worn Out,New,New,0
Van,45840,Good,5,8,Electric,Manual,800,146731,2023-09-10,2025-10-04,First,22575,9,3,10.145933059160532,Good,Good,New,1
Motorcycle,59030,Good,3,7,Diesel,Automatic,2500,86943,2023-12-29,2024-09-26,First,28691,6,3,18.708308172186733,Good,New,Good,0
Truck,56754,Average,2,3,Electric,Manual,1000,2269,2024-01-31,2025-07-09,First,9219,2,3,17.48277514507047,Good,Worn Out,Good,1
Van,70354,Poor,5,8,Electric,Manual,1500,72286,2023-08-16,2024-09-25,Second,6610,1,3,19.662655648399408,Worn Out,New,Weak,1
Bus,34790,Good,3,4,Petrol,Automatic,1000,118582,2023-03-30,2024-09-08,Third,18670,1,1,12.11874407618641,Worn Out,Good,Weak,1
Motorcycle,56562,Average,1,3,Diesel,Automatic,1000,38652,2023-11-17,2025-03-22,Third,7104,1,3,17.320986633015984,Worn Out,Good,New,0
Van,32177,Good,3,2,Electric,Manual,2500,137009,2023-11-28,2025-11-30,First,22578,6,1,18.561659778913764,Good,Worn Out,New,1
Bus,53114,Good,1,1,Petrol,Manual,1000,7790,2023-12-04,2025-07-15,First,12285,10,3,19.56759171856452,New,New,Weak,1
Bus,74942,Poor,0,8,Electric,Manual,2500,90475,2023-09-07,2026-01-11,First,5669,10,2,18.643778817316225,Good,New,Weak,1
Truck,50695,Good,3,7,Petrol,Manual,2000,6008,2023-08-31,2026-02-15,First,29969,10,1,17.630514650128525,Good,Good,New,0
Car,60834,Good,0,5,Electric,Manual,1000,18758,2023-10-29,2024-09-25,Second,20627,1,0,15.497993831164594,Good,Worn Out,Good,1
Bus,76982,Good,4,7,Petrol,Automatic,1500,32800,2024-01-01,2024-11-27,Third,26999,2,3,12.440220883124162,Good,New,Weak,1
Van,58747,Average,1,7,Diesel,Automatic,1500,21924,2023-12-26,2024-09-23,First,28081,9,0,19.24156005209883,New,New,New,0
Motorcycle,41775,Good,3,2,Diesel,Manual,2000,13258,2023-08-30,2024-07-07,Second,14197,1,0,17.269182937087386,Good,New,Good,0
Car,68806,Poor,5,3,Electric,Automatic,2000,116753,2024-01-26,2024-08-13,Third,16689,7,0,16.00143532684071,New,Worn Out,New,1
SUV,57958,Poor,3,8,Diesel,Automatic,2000,131120,2023-08-05,2024-05-23,Third,10724,10,2,17.80696461389955,Good,Good,New,1
SUV,78998,Good,2,3,Diesel,Automatic,2000,104510,2023-06-12,2025-03-31,Third,24169,5,3,12.683118077819678,Worn Out,New,Weak,1
Truck,46225,Good,5,5,Petrol,Automatic,800,20207,2023-06-06,2025-12-24,Second,12564,2,1,14.291507827093481,Worn Out,Good,New,1
Bus,79902,Average,1,2,Petrol,Automatic,2000,92725,2024-01-05,2024-08-31,Second,27090,5,2,17.237785352048174,Worn Out,Good,Good,0
SUV,77940,Good,4,9,Petrol,Manual,1000,16849,2023-08-07,2024-09-17,Second,7388,9,3,18.807324974794245,New,Worn Out,New,1
Car,56375,Poor,2,7,Diesel,Manual,1000,99104,2024-02-21,2025-04-09,First,22803,6,0,16.234534691260656,Worn Out,Good,Good,1
Van,36022,Poor,4,3,Petrol,Automatic,1000,121910,2023-08-07,2024-08-24,Second,24142,7,1,18.150055343049136,New,New,Weak,1
SUV,73592,Poor,0,6,Electric,Manual,800,70031,2023-12-11,2025-03-28,Second,13880,10,0,14.419573943186133,Worn Out,Worn Out,Weak,1
Car,37430,Poor,5,4,Electric,Manual,1500,34033,2023-10-28,2024-07-25,First,16440,7,0,16.176121931911705,Worn Out,Worn Out,Good,1
Motorcycle,41788,Good,1,9,Diesel,Automatic,1000,13900,2024-02-05,2025-02-17,Second,13470,9,3,11.397950666281009,Worn Out,Worn Out,Good,1
Bus,57068,Good,4,10,Electric,Automatic,2000,113483,2023-10-08,2024-06-06,Second,25714,3,2,17.508418983302924,New,New,Good,1
Van,60665,Poor,3,1,Petrol,Automatic,1500,81861,2024-01-16,2025-05-09,First,25934,1,2,14.648146035763753,Good,New,Good,1
Motorcycle,30690,Good,3,2,Petrol,Automatic,1000,119261,2023-08-20,2025-10-09,Third,26602,3,2,10.723593622572443,New,Good,New,0
SUV,36311,Good,2,5,Electric,Automatic,1000,66820,2023-07-05,2024-10-24,Third,25149,3,0,12.996997004924838,Worn Out,Good,Good,0
Bus,79933,Good,2,5,Petrol,Automatic,1500,110296,2023-11-25,2025-01-17,First,29054,2,1,13.73631184155905,Worn Out,Worn Out,Weak,1
Bus,53367,Average,1,9,Electric,Manual,1500,133653,2024-02-24,2026-01-04,First,13389,8,1,10.570101958817634,Worn Out,Worn Out,Weak,1
Car,70553,Poor,1,8,Diesel,Automatic,1500,134735,2023-09-15,2025-06-11,Second,11477,5,3,10.676208803155356,New,Worn Out,New,1
Truck,74989,Good,5,3,Petrol,Manual,800,40489,2023-12-31,2025-09-10,First,11736,7,2,15.74590717620639,New,Good,New,1
Truck,77767,Average,5,2,Petrol,Manual,2000,12076,2024-01-25,2024-12-13,First,14081,8,0,14.074011029176825,Good,New,New,1
Van,54549,Good,0,8,Diesel,Manual,2500,83362,2023-10-07,2025-04-23,Second,11444,1,3,11.48503910399737,Good,Worn Out,Good,1
Truck,75937,Good,5,10,Electric,Manual,2500,101596,2023-07-01,2025-08-10,First,5433,3,2,12.747527960565051,New,Worn Out,Good,1
Motorcycle,32701,Average,4,3,Electric,Automatic,2500,8528,2024-02-03,2025-05-19,Second,16029,6,0,10.457810642617082,Worn Out,Worn Out,New,1
Motorcycle,60036,Good,5,4,Electric,Automatic,800,117509,2023-11-08,2024-11-19,Second,18257,10,1,11.901570949945828,Worn Out,Good,New,1
Car,38969,Good,5,8,Electric,Automatic,1000,5773,2023-10-02,2025-11-03,First,23948,8,2,12.948745946338367,Worn Out,Good,Good,1
Truck,46575,Good,4,2,Petrol,Automatic,800,109155,2023-08-05,2024-05-19,Second,19129,7,0,18.641674154287852,New,Good,Good,1
Car,67050,Average,0,2,Petrol,Manual,2500,140867,2023-07-19,2024-08-26,Third,11408,9,2,10.118953146483198,Worn Out,New,Weak,1
Motorcycle,40618,Average,4,4,Petrol,Manual,1500,100142,2023-11-14,2024-09-25,Second,11581,4,1,19.04936789565664,New,Good,Good,1
Van,31187,Good,5,7,Petrol,Automatic,1000,132920,2023-12-16,2024-08-30,First,23182,2,3,19.651329049905463,New,New,Good,1
Truck,64560,Average,2,2,Diesel,Manual,1500,127035,2023-12-16,2025-09-29,Second,15322,3,2,11.413023878759432,Worn Out,Worn Out,New,1
Car,35281,Average,0,6,Electric,Manual,1000,126409,2023-04-14,2025-11-03,First,10205,2,3,13.446719535892145,New,New,New,0
Motorcycle,55571,Poor,0,5,Diesel,Automatic,1500,132804,2023-05-04,2025-11-09,First,20991,2,0,15.069639074555251,Worn Out,Good,New,0
Car,40813,Poor,4,4,Diesel,Automatic,1000,75981,2023-07-18,2024-09-05,Second,29948,7,1,11.505048251157685,Good,New,Good,1
Motorcycle,44130,Good,3,9,Petrol,Automatic,2000,118622,2023-12-15,2024-06-23,Second,29879,2,1,10.374131134820082,Worn Out,Worn Out,Weak,1
Motorcycle,64904,Average,3,1,Diesel,Manual,1500,40738,2023-09-07,2026-02-16,First,10927,8,2,10.779947910687397,New,Worn Out,New,1
Motorcycle,78924,Average,5,1,Petrol,Manual,2500,94691,2023-08-09,2024-06-07,Second,18744,8,1,10.461556481880967,New,New,New,1
Car,46976,Poor,0,9,Electric,Manual,800,140921,2023-05-12,2025-09-22,First,27437,1,1,15.184559574912251,Worn Out,Worn Out,New,1
Van,74488,Poor,5,10,Petrol,Automatic,800,3370,2023-11-21,2024-08-08,Second,27002,7,1,11.911460415897446,New,Good,Weak,1
Bus,72947,Good,1,3,Petrol,Manual,800,144932,2023-10-01,2024-07-06,Third,15711,3,0,15.820920883904616,Worn Out,New,Weak,1
Motorcycle,39794,Poor,4,3,Electric,Manual,800,63491,2023-12-31,2025-08-01,First,20056,3,0,10.335015418804973,Worn Out,New,Good,1
Motorcycle,41064,Average,2,2,Diesel,Manual,1000,14738,2023-10-26,2024-08-02,Second,22745,1,0,17.9894948670833,Good,New,Weak,1
SUV,59059,Average,4,4,Electric,Automatic,800,87419,2024-01-23,2024-05-13,Second,8594,5,3,13.32063182677076,Worn Out,New,New,1
Truck,33749,Good,2,7,Petrol,Manual,2000,79045,2023-05-15,2025-09-01,Second,29129,1,0,10.519857346149546,Worn Out,Worn Out,Weak,1
Van,77961,Average,4,3,Diesel,Manual,2000,36225,2023-05-01,2025-12-17,Third,10059,4,0,15.648896410014437,Worn Out,Good,Good,1
Truck,73375,Poor,1,10,Petrol,Automatic,1500,45588,2023-10-12,2024-09-22,Third,23202,7,2,18.232616574633013,Good,New,Weak,1
Van,47956,Good,5,8,Diesel,Manual,1500,118433,2024-02-21,2024-11-02,First,25889,5,1,11.701445758381624,New,New,Weak,1
Car,67881,Good,3,7,Diesel,Automatic,2000,41734,2023-09-24,2026-02-18,First,29529,4,2,13.84205065725231,Good,Worn Out,Weak,1
Van,37499,Poor,2,5,Diesel,Manual,1500,125193,2024-02-21,2024-06-10,Third,12141,4,2,11.567005093538336,Good,New,New,1
Bus,31328,Good,5,10,Petrol,Automatic,2500,52200,2023-05-05,2026-02-07,Third,12294,5,0,16.926289128644623,Worn Out,Good,Good,1
Van,66775,Good,4,7,Electric,Manual,1500,145240,2024-01-04,2025-09-06,First,6626,9,0,12.643498857523696,Worn Out,Good,Weak,1
Bus,70506,Poor,4,1,Electric,Automatic,2500,112183,2024-01-01,2025-02-06,Second,5780,9,2,12.130278195810474,New,Worn Out,Weak,1
Motorcycle,34696,Good,5,7,Diesel,Automatic,1000,22187,2023-05-06,2025-02-11,Third,16706,4,3,13.199167928345387,Worn Out,Good,Good,1
Truck,50068,Average,0,3,Petrol,Automatic,1000,133595,2024-01-15,2025-12-19,First,12315,9,2,14.05909403653048,Good,Good,Good,1
Bus,63943,Poor,5,1,Electric,Manual,1500,94282,2023-11-27,2025-06-21,Third,9840,7,3,16.76825438133552,Good,Good,New,1
Motorcycle,37532,Average,1,8,Diesel,Automatic,1500,78230,2023-05-25,2024-09-08,Second,25168,4,2,11.350707060558696,Worn Out,Good,Good,0
Car,30933,Poor,3,5,Diesel,Manual,1500,72825,2023-06-01,2025-09-28,Second,17475,6,1,12.137474007120325,Worn Out,New,Weak,1
SUV,52857,Good,1,4,Petrol,Manual,2000,132196,2024-01-30,2024-11-27,Third,24720,8,3,11.14008482741753,Good,Worn Out,Good,1
Bus,33695,Average,3,1,Electric,Automatic,1500,134751,2023-05-12,2025-05-08,Second,8770,6,1,18.325308656252908,Worn Out,Good,New,1
Truck,47021,Average,3,7,Petrol,Manual,2000,113901,2023-06-20,2026-03-04,Third,24336,3,0,11.585190139096092,New,New,Good,1
Motorcycle,40026,Poor,0,5,Petrol,Manual,1000,46726,2023-05-28,2025-10-25,Third,23767,6,3,10.637611329650824,Good,Worn Out,Good,1
Motorcycle,56618,Average,5,9,Diesel,Manual,1000,44286,2023-04-17,2024-06-03,First,25368,6,3,19.534644503029178,New,Worn Out,Good,1
Van,40453,Poor,1,1,Diesel,Manual,1000,81897,2024-01-26,2026-01-03,Third,6657,9,1,15.08473997614599,New,New,Good,0
Truck,68087,Poor,2,6,Diesel,Manual,2000,108853,2024-02-17,2025-02-24,First,29393,2,3,11.617720694550952,Good,New,Weak,1
Van,76578,Poor,4,6,Petrol,Manual,800,25213,2023-09-03,2025-02-04,First,11355,2,2,18.214047882862996,Good,New,New,1
Bus,74990,Average,2,8,Petrol,Automatic,2000,52817,2023-11-13,2024-09-04,Third,16722,1,1,14.981939080235295,Worn Out,New,Good,0
SUV,39592,Average,1,3,Diesel,Manual,800,126196,2023-04-20,2024-07-07,Second,26112,2,1,10.416975386877237,Worn Out,Worn Out,New,1
SUV,53722,Poor,0,5,Petrol,Automatic,1000,82203,2023-11-04,2024-09-25,Third,18994,5,3,12.799615511306722,Worn Out,Good,New,0
Car,40324,Poor,1,2,Petrol,Automatic,1000,44874,2023-08-03,2025-01-21,Second,6373,8,0,17.14855635290512,New,New,Good,0
Truck,54602,Average,5,3,Petrol,Manual,1000,60615,2023-07-21,2025-01-20,Third,23942,6,2,16.35461054386571,Good,Worn Out,Weak,1
SUV,57106,Good,3,9,Petrol,Manual,2000,60349,2024-01-09,2025-12-02,First,18719,10,1,16.531398790480146,Good,Good,Good,0
Bus,37428,Good,0,3,Petrol,Manual,1500,145990,2023-08-06,2024-11-20,First,20744,1,3,19.38241947219158,New,Good,Good,0
Van,69070,Good,2,10,Diesel,Automatic,2000,7333,2023-08-21,2025-11-20,Third,15485,10,3,13.972751002595881,New,Worn Out,New,1
Truck,71700,Poor,1,10,Petrol,Manual,2000,131983,2024-01-20,2025-04-25,Second,28864,9,1,16.838572035099986,Worn Out,New,New,0
SUV,41449,Good,0,8,Petrol,Automatic,1500,64269,2023-06-25,2025-12-27,Second,11367,3,0,14.490048113045798,New,Worn Out,New,1
Motorcycle,34433,Poor,3,10,Petrol,Automatic,1500,134182,2023-12-24,2025-09-07,First,14704,8,0,18.99331415183686,Good,New,New,1
Motorcycle,43170,Average,2,1,Electric,Automatic,2500,80579,2023-04-27,2024-11-27,Third,17052,8,3,13.157780959104176,Worn Out,New,Weak,1
Car,32855,Average,0,1,Petrol,Manual,2500,120976,2023-09-10,2025-12-17,Second,6563,1,0,13.572138897409765,New,Good,Good,0
Van,34730,Good,4,1,Electric,Automatic,2000,86215,2023-06-19,2025-09-22,Second,10525,10,1,11.990878774982637,Good,Good,Good,1
Truck,50870,Poor,3,10,Petrol,Automatic,1000,104836,2023-06-27,2025-10-08,Second,8749,10,3,12.839869666246779,New,Good,New,1
Motorcycle,64987,Good,2,1,Electric,Automatic,2500,134405,2023-11-30,2025-01-16,Second,9263,8,1,13.44285917481223,Good,Good,Good,0
SUV,45434,Average,5,7,Petrol,Automatic,1000,43564,2023-12-07,2024-07-02,First,21337,8,2,16.642576091165136,Good,Worn Out,New,1
Van,78111,Good,2,7,Diesel,Automatic,2500,7458,2023-12-17,2026-03-17,Second,12441,8,1,18.501520061975384,Good,Good,Good,0
Van,44636,Average,2,8,Diesel,Automatic,2000,54752,2023-11-02,2025-06-12,Third,28569,4,0,17.008122553062403,Worn Out,Worn Out,New,1
SUV,77863,Average,2,4,Electric,Manual,800,90304,2024-01-05,2024-12-23,First,6377,2,1,13.547131456407456,Good,Good,Weak,1
Truck,66209,Good,4,5,Electric,Automatic,1000,35022,2023-09-14,2025-08-18,First,9562,6,0,16.371165300301726,New,New,New,1
Truck,65067,Good,1,3,Diesel,Automatic,2500,20483,2023-12-08,2025-11-11,Third,13178,3,2,19.315805632456073,Worn Out,Good,Good,0
Car,73354,Average,4,6,Diesel,Automatic,2500,37606,2023-11-21,2024-10-15,Third,12510,4,2,15.766282865257413,New,New,New,1
Motorcycle,38977,Poor,5,4,Diesel,Manual,800,84702,2023-04-03,2025-10-17,First,20592,6,1,18.87461506556263,New,New,Weak,1
Truck,32718,Average,1,8,Electric,Automatic,1500,58956,2023-09-02,2024-12-03,First,22844,10,3,10.411139389664694,Good,New,Good,1
Van,68100,Good,0,2,Diesel,Automatic,800,46222,2023-12-06,2024-11-04,First,15042,3,0,19.985288963651833,New,New,New,0
Van,36303,Good,5,3,Diesel,Manual,1000,57342,2023-08-10,2025-10-05,Third,18718,1,3,18.683374527969924,New,Good,New,1
Truck,40983,Average,2,5,Diesel,Automatic,1500,61036,2023-11-29,2025-11-07,Second,25248,3,1,13.05786856647056,Good,Worn Out,Good,1
SUV,36336,Average,4,3,Electric,Automatic,2500,91422,2023-08-06,2024-12-27,First,10375,10,0,19.32624993167046,New,Worn Out,Weak,1
SUV,51687,Average,0,8,Diesel,Automatic,2500,107664,2024-01-19,2025-12-31,Second,10910,9,1,14.324771058168617,Good,Good,Weak,1
Bus,60782,Poor,3,5,Electric,Automatic,1500,91780,2023-07-19,2025-09-07,Third,5583,6,3,16.587526717342993,New,Worn Out,Weak,1
Motorcycle,34688,Good,3,10,Electric,Automatic,1000,139961,2023-09-13,2025-02-25,First,6157,10,0,10.600894032152224,Good,Good,Weak,1
Car,79300,Good,3,8,Diesel,Automatic,1000,41971,2023-05-26,2025-10-04,Third,11570,2,1,19.524412029175693,Worn Out,Worn Out,Weak,1
Motorcycle,43196,Poor,5,4,Diesel,Manual,800,108050,2023-09-16,2025-04-29,Second,27342,7,0,14.051718441598858,New,Worn Out,Good,1
Bus,68837,Poor,4,7,Diesel,Manual,2000,47402,2023-12-05,2025-07-22,Third,25752,9,3,11.082036420228237,Worn Out,Worn Out,New,1
Bus,76411,Poor,3,2,Electric,Automatic,800,77908,2023-12-02,2025-05-04,Third,12489,3,1,13.258645826621837,Worn Out,Worn Out,Weak,1
Car,41777,Poor,3,9,Electric,Manual,1000,1458,2023-10-12,2025-05-12,Third,22558,5,2,10.571570033155798,Worn Out,Good,Weak,1
Van,64997,Good,5,1,Diesel,Automatic,2500,110318,2024-01-08,2026-02-07,First,24719,9,0,19.917610454810855,Good,Good,Good,1
Car,58955,Average,0,8,Electric,Manual,2000,70620,2023-09-19,2025-03-18,Third,19102,2,2,18.170222429283506,Good,Worn Out,New,1
Truck,61432,Poor,0,7,Diesel,Automatic,2000,48524,2023-11-27,2026-02-06,Second,11103,5,1,11.924773978651125,New,Worn Out,Weak,1
Van,52861,Poor,0,3,Electric,Manual,2500,78998,2023-11-18,2025-04-17,Second,29017,2,1,13.987782333332106,New,New,Good,0
SUV,37116,Average,4,10,Electric,Manual,2000,80442,2023-08-18,2024-09-01,Second,28142,7,0,18.915758702090486,Worn Out,Good,Good,1
Truck,59654,Good,3,5,Electric,Manual,2500,27185,2024-01-20,2024-11-26,First,6490,2,1,14.322498203000652,Worn Out,New,Weak,1
SUV,42754,Poor,2,8,Electric,Manual,2500,84461,2023-04-29,2025-06-21,Third,11871,1,0,14.84782862419771,New,Worn Out,Weak,1
Car,47848,Average,4,7,Diesel,Automatic,800,58142,2023-05-01,2024-09-01,Second,27091,9,2,16.22555311120254,New,New,Weak,1
Car,46174,Good,3,8,Petrol,Automatic,1000,27335,2023-10-19,2024-05-18,Second,21516,3,0,12.754292428484312,Good,Worn Out,Weak,1
SUV,31079,Average,2,5,Petrol,Manual,800,122718,2023-10-20,2025-04-21,Second,20648,2,2,17.23706621486535,Good,Worn Out,Good,1
Car,44015,Poor,0,9,Electric,Automatic,800,59369,2023-07-09,2025-08-15,Second,12525,7,1,11.902001851177715,New,New,Weak,1
SUV,39386,Average,4,2,Electric,Manual,1000,33507,2023-06-02,2024-05-29,First,16559,9,2,16.651279242300085,Good,Worn Out,New,1
Van,74229,Poor,3,10,Diesel,Automatic,1500,71413,2023-12-22,2025-09-27,Third,26248,4,0,12.867296906571255,Good,New,Good,1
Truck,38685,Average,5,2,Petrol,Manual,1500,78755,2023-05-01,2026-01-27,First,8332,10,1,14.01759423003137,Good,Good,Weak,1
Car,60883,Average,1,2,Petrol,Automatic,1000,57414,2023-07-28,2025-05-27,Second,26933,1,0,11.795763144233272,Worn Out,Worn Out,New,1
Truck,78681,Average,2,5,Diesel,Automatic,800,26117,2023-08-15,2025-06-19,Second,28492,3,0,10.000097886394187,Good,New,Weak,1
SUV,63659,Poor,2,8,Electric,Automatic,1000,135243,2023-07-02,2024-10-02,Third,27696,4,0,11.672707365094283,New,New,Weak,1
Van,63575,Good,2,5,Electric,Manual,800,125468,2023-07-17,2024-06-19,First,12903,4,3,17.10405236191786,Good,New,Good,0
Car,78011,Poor,1,10,Diesel,Automatic,800,54887,2023-05-10,2024-07-27,Third,15727,3,0,12.291144696904421,Worn Out,Worn Out,Weak,1
Car,50663,Poor,3,1,Petrol,Automatic,2000,3135,2024-01-11,2025-07-15,Second,6723,4,2,17.773667328106374,Worn Out,Good,Good,1
Car,76971,Good,0,1,Petrol,Manual,1000,67951,2024-02-10,2024-08-09,Second,21951,6,3,18.124818358895507,New,Worn Out,New,1
Motorcycle,51509,Poor,2,10,Diesel,Manual,1500,140636,2023-05-24,2024-12-15,Third,22494,9,0,14.54840644467456,Good,Worn Out,New,1
Bus,50268,Poor,2,5,Diesel,Manual,2500,33429,2023-08-16,2025-07-11,Second,27591,3,3,18.368619883137903,Good,Good,Good,1
Van,58322,Average,3,4,Diesel,Manual,1500,19301,2023-12-31,2024-10-19,Third,18281,2,0,15.659022639661433,Good,Good,New,1
Car,36357,Average,3,8,Petrol,Automatic,1500,66223,2023-12-01,2024-12-16,Second,27604,8,3,16.587981137152234,New,Worn Out,Weak,1
SUV,33753,Poor,4,10,Electric,Automatic,2500,38561,2023-07-06,2025-12-15,Third,14976,10,0,18.79370692462684,New,Worn Out,New,1
Van,51608,Average,0,7,Petrol,Automatic,800,40987,2023-07-09,2025-03-11,Third,9472,8,3,18.889305965916925,Worn Out,Good,Good,1
Truck,60042,Poor,2,1,Electric,Manual,2500,1593,2023-06-19,2025-01-11,Second,21149,3,2,13.459392845164828,Good,Worn Out,New,1
Van,68324,Good,3,5,Electric,Manual,2500,148773,2024-02-13,2025-11-03,Second,21031,7,3,17.84730067247537,Worn Out,Worn Out,Good,1
Bus,61842,Poor,4,9,Electric,Automatic,2000,110800,2024-01-15,2025-07-08,First,7238,9,2,15.78970696613939,Good,Worn Out,Good,1
Bus,42949,Poor,3,4,Petrol,Automatic,800,35575,2023-11-23,2026-02-05,Third,24770,8,2,10.225027578680251,Good,Good,New,1
Van,33578,Poor,3,10,Diesel,Automatic,2500,47290,2023-07-20,2025-02-25,Second,7358,7,3,12.680116559942379,New,New,Good,1
Van,70165,Average,5,6,Diesel,Manual,800,122966,2023-05-08,2025-04-24,First,15796,8,3,19.945335351104454,New,New,Weak,1
Van,31221,Poor,4,4,Diesel,Automatic,1500,71517,2024-01-15,2025-03-05,Third,19721,10,0,13.744347944424693,Worn Out,New,Good,1
Motorcycle,78741,Poor,0,10,Diesel,Manual,1500,72167,2023-09-24,2024-12-27,Third,13160,7,0,10.249101608421267,New,New,New,0
Bus,44159,Good,1,1,Electric,Manual,800,67654,2023-10-14,2025-05-02,Third,17603,3,1,13.860550948435929,Good,Good,Good,0
Car,59067,Good,3,3,Petrol,Manual,2500,95794,2023-04-09,2025-10-14,Second,16145,5,3,11.30691463413896,Good,Good,Weak,1
Van,73463,Good,3,4,Diesel,Automatic,2000,125506,2023-06-23,2025-08-21,First,16537,2,0,14.651698621403511,Worn Out,New,Weak,1
Van,65231,Good,1,6,Diesel,Automatic,2000,65713,2023-04-04,2025-11-08,Third,17691,10,0,14.517625984377226,Good,Good,New,0
Car,51925,Average,5,5,Electric,Manual,2000,26623,2023-05-02,2025-04-24,First,19297,6,2,12.798811841570902,New,Good,Weak,1
Car,76902,Poor,0,6,Petrol,Automatic,2500,140837,2023-06-02,2025-11-04,Second,14404,8,0,14.468744347148446,Worn Out,New,Weak,1
Motorcycle,71497,Average,2,6,Petrol,Automatic,800,107805,2023-12-01,2025-05-01,Second,14046,2,1,16.26860234825167,Good,Good,New,0
Truck,51531,Average,1,8,Petrol,Manual,1500,96667,2024-02-14,2024-05-17,First,20562,8,1,16.142847473738023,New,Good,Good,0
Truck,32398,Good,0,10,Petrol,Automatic,2500,10040,2023-06-26,2024-07-31,Second,22439,6,1,12.8806117098001,Good,New,Weak,1
Van,48488,Good,3,6,Electric,Manual,1500,115981,2024-01-16,2025-09-14,Third,8163,5,2,17.9180694723503,Worn Out,New,Good,0
Van,46368,Good,5,1,Diesel,Manual,2500,56383,2023-04-27,2025-05-31,First,9279,10,1,19.698252361847167,New,Worn Out,New,1
Car,37283,Good,5,7,Diesel,Manual,1000,1819,2024-02-21,2024-10-22,First,15999,3,0,14.344106462393725,Good,Good,Weak,1
Van,45071,Good,5,4,Diesel,Automatic,800,79909,2023-06-29,2025-04-04,Second,15649,9,2,16.172362702450982,New,Good,Good,1
Van,38367,Average,0,6,Electric,Automatic,1000,107371,2023-07-08,2025-05-16,Second,10429,9,3,11.458786918758564,Worn Out,Good,New,1
Motorcycle,31190,Good,2,5,Diesel,Automatic,2500,6938,2023-10-15,2024-12-04,First,16110,4,1,16.23475776456218,Worn Out,New,New,0
Truck,65647,Average,5,6,Electric,Automatic,2500,118984,2023-09-05,2024-05-12,First,18748,2,2,12.149201588480285,New,New,New,1
Bus,59385,Average,0,7,Electric,Manual,2500,70268,2023-12-12,2024-12-06,Third,18550,1,2,16.713777014304966,Good,Worn Out,Good,1
SUV,45901,Good,5,7,Diesel,Manual,2500,17011,2024-02-21,2024-05-10,Third,22841,2,3,18.429806419276044,New,Worn Out,New,1
Bus,66234,Good,0,1,Petrol,Manual,2000,20672,2023-05-03,2024-10-19,Second,14764,8,0,15.711997505429636,New,Good,New,0
Car,43269,Average,0,3,Diesel,Manual,2000,14444,2023-08-05,2024-06-16,Third,26062,8,0,15.87467388690806,New,New,Good,0
Truck,53820,Average,0,1,Diesel,Automatic,2500,90505,2023-12-03,2025-07-07,First,20430,8,0,15.607417666412637,New,Worn Out,Weak,1
Bus,49977,Average,0,9,Electric,Automatic,800,3973,2023-10-26,2025-01-24,Third,14540,5,1,19.588595018206654,Worn Out,Worn Out,Good,1
Bus,72225,Good,0,3,Petrol,Automatic,2500,92255,2023-06-08,2025-11-10,First,17427,3,0,10.579326344439835,New,Good,Good,0
Bus,42122,Average,4,8,Diesel,Automatic,1500,137597,2023-10-11,2025-08-07,Second,14926,1,0,18.37060347455442,Worn Out,Worn Out,New,1
Bus,31964,Good,5,1,Electric,Automatic,2000,53044,2023-09-20,2024-05-10,Second,18311,1,1,11.493627211833912,Worn Out,Good,Weak,1
Truck,59705,Good,3,7,Petrol,Manual,2500,29971,2024-01-02,2025-11-05,First,24669,1,1,19.191991334467772,New,Good,Weak,1
SUV,49493,Good,3,1,Petrol,Automatic,1000,121446,2024-02-27,2025-08-03,Third,5234,9,1,10.770071620549285,New,New,New,0
Motorcycle,58596,Good,3,3,Electric,Manual,2500,79369,2023-10-15,2024-09-13,First,20086,8,2,12.242343165292258,Good,New,New,1
Motorcycle,43604,Good,3,5,Diesel,Automatic,2500,51224,2023-10-22,2024-05-10,Third,15900,4,0,11.06058153109592,Worn Out,Worn Out,New,1
Motorcycle,33083,Good,1,2,Electric,Manual,2500,78666,2023-09-24,2025-10-10,First,21496,6,1,17.787665702182302,Good,Worn Out,Good,1
Van,76844,Average,5,5,Petrol,Automatic,1500,112454,2023-11-13,2025-03-20,First,23896,3,0,11.051698804400424,Good,Worn Out,New,1
Motorcycle,49312,Good,5,3,Electric,Automatic,800,122313,2023-09-09,2025-09-01,Third,26978,10,3,10.783980481178379,Good,Worn Out,Good,1
